scenario,seed,variable,domain,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,truth_spectral_gap,truth_rank_class
AR-S4U,1,0,core,0.024186870072663045,0.013035392613842019,0.0068082344857941565,0.540371016188098,0.5389449967970488,0.006227158128047862,strong_rank2
AR-S4U,1,0,fit,0.02895419314240619,0.016781016186599603,0.005736277232164593,0.5331071525302452,0.579571190399438,0.01104473895443501,strong_rank2
AR-S4U,1,1,core,0.030679086740064566,0.023726849378334667,0.00660588689555974,0.633975308722363,0.7733883860157152,0.0069522373617298995,strong_rank2
AR-S4U,1,1,fit,0.16503395940518767,0.12225763222765967,0.0065707665177043096,0.5960486623285987,0.7408028788032376,0.042776327177527995,strong_rank2
AR-S4U,1,2,core,0.021454161426351436,0.013018576500020728,0.007477137799650807,0.6085314898359562,0.6068089188529383,0.005541438700369921,strong_rank2
AR-S4U,1,2,fit,0.028385009762174705,0.022704172255860765,0.007710182002662134,0.6559849936744617,0.7998648739630131,0.00568083750631394,strong_rank2
AR-S4U,2,0,core,0.02442721641142744,0.013228451202645288,0.006800647233548573,0.5405181710435522,0.5415455850490115,0.006427803969096715,strong_rank2
AR-S4U,2,0,fit,0.028704714106869755,0.016735607878921654,0.0058086169121405375,0.5362722256442916,0.5830264609713149,0.010926990966781116,strong_rank2
AR-S4U,2,1,core,0.031866159457175386,0.028553649617168247,0.006673085031562432,0.6825489731251626,0.896049291899804,0.0033125098400071384,strong_rank2
AR-S4U,2,1,fit,0.13077214687611607,0.11143142195550258,0.006661347534682564,0.6495411154956668,0.8521036368781536,0.019340724920613492,strong_rank2
AR-S4U,2,2,core,0.02139788523147029,0.013055432555455803,0.007470861433755362,0.6100327584246052,0.6101272352024266,0.005584571121700441,strong_rank2
AR-S4U,2,2,fit,0.02620434598786187,0.021835689950720667,0.007162486061894263,0.6750400933589985,0.8332850574036532,0.004368656037141202,strong_rank2
AR-S4U,3,0,core,0.02447547084554472,0.013119141364869493,0.006793719600981557,0.5374051803394883,0.536011807399308,0.006325421763887936,strong_rank2
AR-S4U,3,0,fit,0.028262970240489117,0.016133294350867085,0.005991979448224949,0.5325453920610342,0.5708279849424589,0.010141314902642137,strong_rank2
AR-S4U,3,1,core,0.028670402405445432,0.02615374439194338,0.006621083245205807,0.6916388303899558,0.9122210432238629,0.0025166580135020516,strong_rank2
AR-S4U,3,1,fit,0.12474925718809916,0.10662408932401028,0.00670020523281005,0.6507891633120919,0.854707208101773,0.01812516786408888,strong_rank2
AR-S4U,3,2,core,0.021603699812473134,0.01310998512811108,0.007501537015806769,0.6081750770419828,0.6068398117873257,0.005608448112304311,strong_rank2
AR-S4U,3,2,fit,0.028124301509677815,0.022542934319736876,0.007652722829494414,0.6570187939381611,0.8015464601664741,0.005581367189940938,strong_rank2
AR-S4U,4,0,core,0.024211946682181077,0.013129663059565411,0.006802535261226577,0.5417839998196158,0.5422803557232456,0.006327127798338834,strong_rank2
AR-S4U,4,0,fit,0.028410480993627363,0.016492442939321443,0.005942318760085714,0.5369277916599792,0.5805055867593651,0.010550124179235728,strong_rank2
AR-S4U,4,1,core,0.027692835772125304,0.026246813592634432,0.006602007847910145,0.7051413614323115,0.947783528151841,0.0014460221794908718,strong_rank2
AR-S4U,4,1,fit,0.15995422022961336,0.1088483626631147,0.0065957855469480665,0.5635988521570474,0.6804969728642577,0.05110585756649866,strong_rank2
AR-S4U,4,2,core,0.02145992188442039,0.013002979387880424,0.007483657530586603,0.6086853574031234,0.6059192320415858,0.005519321857293821,strong_rank2
AR-S4U,4,2,fit,0.027503262226724362,0.022059518608800753,0.0074523233836905406,0.6581544358486544,0.8020691664484065,0.005443743617923609,strong_rank2
