scenario,seed,variable,domain,lag_basis_type,lag_basis_count,amplitude_basis_count,epsilon_lag,epsilon_amplitude,epsilon_amplitude_given_lag,epsilon_lag_given_amplitude,epsilon_joint,operator_error,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,operator_error_over_sigma2,operator_error_over_gap,truth_rank_class
AR-S1,0,1,core,discrete_identity,64,24,0.0,1.2098201092383326e-12,1.2098201092383326e-12,0.0,1.2098169615808746e-12,3.6502307105620085e-14,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,164.39177667903402,164.39177667903402,rank1
AR-S1,0,1,core,cubic_bspline,32,28,0.0007721047578592939,1.5268476317487468e-13,1.526870770605416e-13,0.0007721047578592925,0.0007721047578592782,2.3295760799527774e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,104914779656.06549,104914779656.06549,rank1
AR-S1,0,1,core,cubic_bspline,40,28,0.0004828616072989428,1.5268476317487468e-13,1.5268835782741272e-13,0.00048286160729894194,0.00048286160729895457,1.4568785373243492e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,65611976378.18012,65611976378.18012,rank1
AR-S1,0,1,core,cubic_bspline,48,28,7.165228360642189e-05,1.5268476317487468e-13,1.526868916386255e-13,7.165228360642176e-05,7.165228360643497e-05,2.1618756297570408e-06,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,9736222280.595165,9736222280.595165,rank1
AR-S1,0,1,core,discrete_identity,64,28,0.0,1.5268476317487468e-13,1.5268476317487468e-13,0.0,1.527277938930946e-13,4.608048527604209e-15,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,20.752805631823477,20.752805631823477,rank1
AR-S1,0,1,core,cubic_bspline,32,32,0.0007721047578592939,5.668600880862587e-14,5.668791982010081e-14,0.0007721047578592926,0.0007721047578592767,2.3295760799527727e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,104914779656.06528,104914779656.06528,rank1
AR-S1,0,1,core,cubic_bspline,40,32,0.0004828616072989428,5.668600880862587e-14,5.6684911035735516e-14,0.00048286160729894194,0.00048286160729895425,1.4568785373243485e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,65611976378.18009,65611976378.18009,rank1
AR-S1,0,1,core,cubic_bspline,48,32,7.165228360642189e-05,5.668600880862587e-14,5.668765610141101e-14,7.165228360642176e-05,7.165228360640595e-05,2.1618756297561654e-06,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,9736222280.591223,9736222280.591223,rank1
AR-S1,0,1,core,discrete_identity,64,32,0.0,5.668600880862587e-14,5.668600880862587e-14,0.0,5.667689433755131e-14,1.709993641253504e-15,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,7.7011267255551985,7.7011267255551985,rank1
AR-S1,0,1,fit,cubic_bspline,32,24,0.0007721047578592841,8.301221110576996e-15,8.30450818279317e-15,0.0007721047578592841,0.0007721047578592818,0.00012783179953512692,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,575703244752.4976,575703244752.4976,rank1
AR-S1,0,1,fit,cubic_bspline,40,24,0.00048286160729893885,8.301221110576996e-15,8.307589248379659e-15,0.000482861607298939,0.0004828616072989552,7.99439034135557e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,360035333623.8324,360035333623.8324,rank1
AR-S1,0,1,fit,cubic_bspline,48,24,7.165228360642744e-05,8.301221110576996e-15,8.305495314080807e-15,7.165228360642747e-05,7.165228360642639e-05,1.1862950281003305e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,53425978465.04121,53425978465.04121,rank1
AR-S1,0,1,fit,discrete_identity,64,24,0.0,8.301221110576996e-15,8.301221110576996e-15,0.0,8.310829567128991e-15,1.3743543388185447e-15,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,6.189541688178222,6.189541688178222,rank1
AR-S1,0,1,fit,cubic_bspline,32,28,0.0007721047578592841,4.059538557234073e-15,4.0728356505545654e-15,0.0007721047578592847,0.0007721047578592722,0.00012783179953512535,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,575703244752.4905,575703244752.4905,rank1
