direction,information_set,alpha,seed,mode,active_signature,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_1_to_Rod_2,dynamic,0.0,3,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,4,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,5,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,6,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,7,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,8,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.0,9,N2_REIDENTIFICATION,A,0.5409521749452114,0.42012632492428603,0.6445317804785071,-0.009320398915562356,0.4042896159985625
Rod_1_to_Rod_2,dynamic,0.25,0,N2_REIDENTIFICATION,A,0.5550600204121061,0.43873049041822726,0.6257490331245816,-0.06265233974986639,0.38875369539454974
Rod_1_to_Rod_2,dynamic,0.25,1,N2_REIDENTIFICATION,K+W+A,0.6640788602834271,0.5609557201715526,0.46429913529266054,-0.5210749675278108,0.2686993579298498
Rod_1_to_Rod_2,dynamic,0.25,2,N2_REIDENTIFICATION,A,0.5575396255414916,0.4398775403508267,0.6223978012361567,-0.07216786468493708,0.3860230907455384
Rod_1_to_Rod_2,dynamic,0.25,3,N2_REIDENTIFICATION,A,0.5564314989964634,0.43655931347226945,0.6238973007469688,-0.06791016916869008,0.3872433880661432
Rod_1_to_Rod_2,dynamic,0.25,4,N2_REIDENTIFICATION,A,0.5526678455863587,0.4324476420269932,0.6289679445995968,-0.05351252686191854,0.3913880195548859
