baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
R1-LIN-DERIVED,LIN-UOI,pooled,40,-1.797232324336757,-1.8895939907540722,-6.89563528303552,-0.2669739675899387,0.002
R1-LIN-DERIVED,LIN-UOI,pooled,60,-1.797232324336757,-1.8799190572629931,-7.6311742874639314,-0.33983877324658457,0.001
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,60,0.0,0.0,0.0,0.0,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,10,-15496.327740107903,-14638.877819337798,-28003.17803422542,-5519.670094870672,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,22,-15496.327740107903,-14679.345089337607,-31707.860630826803,-4477.632549937883,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,40,-15496.327740107903,-14622.652738885674,-29060.194394216363,-4161.270905428993,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,60,-15496.327740107903,-14318.296884109179,-29112.86833596919,-3669.8560874671416,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,10,-311678.4999753072,-301964.7928161148,-660550.4945854668,-85207.27628418186,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,22,-311678.4999753072,-284205.620785965,-850270.8796895364,-36420.06187328968,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,40,-311678.4999753072,-303875.6003717624,-1002526.6072040047,-30850.123588698927,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,60,-311678.4999753072,-326437.8266102076,-1149948.983927491,-28652.214705697523,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,10,-244444.00883942423,-244496.8228935437,-523630.57907917554,-82123.01547330571,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,22,-244444.00883942423,-234666.06681417706,-602835.2500094614,-32336.876921782386,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,40,-244444.00883942423,-233220.78409402093,-814540.5682710417,-27234.620566579582,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,60,-244444.00883942423,-250555.4971157134,-838312.2823493981,-27603.461759909853,0.0
