scenario,seed,variable,resolution_role,truth_replay_max_abs_error,matrix_direct_max_abs_error
AR-S2,1,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S2,1,1,PREDICTIVE,4.440892098500626e-16,1.3322676295501878e-15
AR-S2,1,1,STRUCTURAL,4.440892098500626e-16,1.7763568394002505e-15
AR-S2,1,1,MOTHER,4.440892098500626e-16,1.7208456881689926e-15
AR-S2,1,2,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S2,1,2,STRUCTURAL,2.220446049250313e-16,6.661338147750939e-16
AR-S2,1,2,MOTHER,2.220446049250313e-16,6.661338147750939e-16
AR-S2,2,0,PREDICTIVE,2.220446049250313e-16,8.881784197001252e-16
AR-S2,2,0,STRUCTURAL,2.220446049250313e-16,9.992007221626409e-16
AR-S2,2,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S2,2,1,PREDICTIVE,4.440892098500626e-16,1.5265566588595902e-15
AR-S2,2,1,STRUCTURAL,4.440892098500626e-16,2.220446049250313e-15
AR-S2,2,1,MOTHER,4.440892098500626e-16,1.4988010832439613e-15
AR-S2,2,2,PREDICTIVE,2.220446049250313e-16,8.881784197001252e-16
AR-S2,2,2,STRUCTURAL,2.220446049250313e-16,7.771561172376096e-16
AR-S2,2,2,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S2,3,0,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S2,3,0,STRUCTURAL,2.220446049250313e-16,1.2212453270876722e-15
AR-S2,3,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S2,3,1,PREDICTIVE,4.440892098500626e-16,1.1102230246251565e-15
AR-S2,3,1,STRUCTURAL,4.440892098500626e-16,1.5543122344752192e-15
AR-S2,3,1,MOTHER,4.440892098500626e-16,1.5543122344752192e-15
AR-S2,3,2,PREDICTIVE,2.220446049250313e-16,6.661338147750939e-16
AR-S2,3,2,STRUCTURAL,2.220446049250313e-16,6.661338147750939e-16
AR-S2,3,2,MOTHER,2.220446049250313e-16,6.661338147750939e-16
AR-S2,4,0,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S2,4,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
AR-S2,4,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S2,4,1,PREDICTIVE,4.440892098500626e-16,1.4432899320127035e-15
AR-S2,4,1,STRUCTURAL,4.440892098500626e-16,1.6306400674181987e-15
AR-S2,4,1,MOTHER,4.440892098500626e-16,1.4988010832439613e-15
AR-S2,4,2,PREDICTIVE,2.220446049250313e-16,5.551115123125783e-16
AR-S2,4,2,STRUCTURAL,2.220446049250313e-16,7.771561172376096e-16
AR-S2,4,2,MOTHER,2.220446049250313e-16,6.661338147750939e-16
AR-S3,0,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S3,0,0,STRUCTURAL,2.220446049250313e-16,8.881784197001252e-16
AR-S3,0,0,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S3,0,1,PREDICTIVE,4.440892098500626e-16,1.7763568394002505e-15
AR-S3,0,1,STRUCTURAL,4.440892098500626e-16,2.1094237467877974e-15
AR-S3,0,1,MOTHER,4.440892098500626e-16,2.6645352591003757e-15
AR-S3,0,2,PREDICTIVE,4.440892098500626e-16,8.881784197001252e-16
AR-S3,0,2,STRUCTURAL,4.440892098500626e-16,1.7763568394002505e-15
AR-S3,0,2,MOTHER,4.440892098500626e-16,1.5543122344752192e-15
AR-S3,1,0,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S3,1,0,STRUCTURAL,2.220446049250313e-16,8.881784197001252e-16
AR-S3,1,0,MOTHER,2.220446049250313e-16,6.106226635438361e-16
AR-S3,1,1,PREDICTIVE,6.661338147750939e-16,1.3322676295501878e-15
AR-S3,1,1,STRUCTURAL,6.661338147750939e-16,1.5543122344752192e-15
AR-S3,1,1,MOTHER,6.661338147750939e-16,3.3029134982598407e-15
AR-S3,1,2,PREDICTIVE,4.440892098500626e-16,1.1102230246251565e-15
AR-S3,1,2,STRUCTURAL,4.440892098500626e-16,1.7763568394002505e-15
