scenario,seed,variable,lag_basis,amplitude_basis,is_fallback,projection_surface_nrmse
AR-S4,0,2,8,12,False,0.5969253481757547
AR-S4,1,0,5,8,False,0.6817359617743503
AR-S4,1,0,5,12,False,0.6816352789456581
AR-S4,1,0,8,8,False,0.6050683690413386
AR-S4,1,0,8,12,False,0.6043090427834382
AR-S4,1,1,5,8,False,0.7409464903734503
AR-S4,1,1,5,12,False,0.7409095347703649
AR-S4,1,1,8,8,False,0.5717003265962335
AR-S4,1,1,8,12,False,0.5712512207621638
AR-S4,1,2,5,8,False,0.6919695656044983
AR-S4,1,2,5,12,False,0.691540277746784
AR-S4,1,2,8,8,False,0.6005934598177421
AR-S4,1,2,8,12,False,0.5976126961958074
AR-S4,2,0,5,8,False,0.6841171322092416
AR-S4,2,0,5,12,False,0.6839912110559818
AR-S4,2,0,8,8,False,0.6087695155438284
AR-S4,2,0,8,12,False,0.6080175496939985
AR-S4,2,1,5,8,False,0.7542718614267899
AR-S4,2,1,5,12,False,0.754237946003813
AR-S4,2,1,8,8,False,0.5983317149424252
AR-S4,2,1,8,12,False,0.5977970454873363
AR-S4,2,2,5,8,False,0.693024523796379
AR-S4,2,2,5,12,False,0.6925900303510469
AR-S4,2,2,8,8,False,0.6015213991249108
AR-S4,2,2,8,12,False,0.598536509131273
AR-S4,3,0,5,8,False,0.6827317851411602
AR-S4,3,0,5,12,False,0.682599171728588
AR-S4,3,0,8,8,False,0.608651061159276
AR-S4,3,0,8,12,False,0.6078687143211975
AR-S4,3,1,5,8,False,0.7429837317332949
AR-S4,3,1,5,12,False,0.7429483746641168
AR-S4,3,1,8,8,False,0.5817888282433327
AR-S4,3,1,8,12,False,0.5812796557782398
AR-S4,3,2,5,8,False,0.6908277449281364
AR-S4,3,2,5,12,False,0.6904323299830565
AR-S4,3,2,8,8,False,0.5982265157456715
AR-S4,3,2,8,12,False,0.5944068031812358
AR-S4,4,0,5,8,False,0.6831322668826112
AR-S4,4,0,5,12,False,0.6830216935775977
AR-S4,4,0,8,8,False,0.6073280563446127
AR-S4,4,0,8,12,False,0.6066725141205109
AR-S4,4,1,5,8,False,0.7466363921028498
AR-S4,4,1,5,12,False,0.7466024568527726
AR-S4,4,1,8,8,False,0.5876234216393001
AR-S4,4,1,8,12,False,0.5870938668011779
AR-S4,4,2,5,8,False,0.6936100669306332
AR-S4,4,2,5,12,False,0.6931582326132749
AR-S4,4,2,8,8,False,0.6035239778514732
AR-S4,4,2,8,12,False,0.6012689673209923
AR-S1,0,0,12,16,True,0.14709052227531091
AR-S1,0,1,12,16,True,0.0349164952971633
AR-S1,0,2,12,16,True,0.04268699130336839
AR-S1,1,0,12,16,True,0.14709052170421016
AR-S1,1,1,12,16,True,0.03546323344758858
AR-S1,1,2,12,16,True,0.04268873098914654
AR-S1,2,0,12,16,True,0.14709052458012148
AR-S1,2,1,12,16,True,0.03359183739508325
AR-S1,2,2,12,16,True,0.04268778302638599
AR-S1,3,0,12,16,True,0.1470905220660103
AR-S1,3,1,12,16,True,0.03389163088969748
AR-S1,3,2,12,16,True,0.04270940485665204
AR-S1,4,0,12,16,True,0.1470905185185253
AR-S1,4,1,12,16,True,0.03323129329001987
AR-S1,4,2,12,16,True,0.04271580708615716
AR-S2,0,0,12,16,True,0.40208838640851946
AR-S2,0,1,12,16,True,0.33289558409895936
AR-S2,0,2,12,16,True,0.44745222254061434
AR-S2,1,0,12,16,True,0.40208838622950516
AR-S2,1,1,12,16,True,0.3329470328838563
AR-S2,1,2,12,16,True,0.44745235552315693
AR-S2,2,0,12,16,True,0.40208838713097345
AR-S2,2,1,12,16,True,0.33277421502965904
AR-S2,2,2,12,16,True,0.44745228305969237
AR-S2,3,0,12,16,True,0.40208838634291316
AR-S2,3,1,12,16,True,0.3328012759162447
AR-S2,3,2,12,16,True,0.44745393625687013
AR-S2,4,0,12,16,True,0.40208838523093704
AR-S2,4,1,12,16,True,0.33274198606691896
AR-S2,4,2,12,16,True,0.44745442592844636
AR-S3,0,0,12,16,True,0.3260970200050368
AR-S3,0,1,12,16,True,0.3503164280968862
AR-S3,0,2,12,16,True,0.46334986389823535
AR-S3,1,0,12,16,True,0.32602057237099247
AR-S3,1,1,12,16,True,0.3524039645238413
AR-S3,1,2,12,16,True,0.46471155668629477
AR-S3,2,0,12,16,True,0.32625805152496
AR-S3,2,1,12,16,True,0.34543964337654637
AR-S3,2,2,12,16,True,0.46476262130272594
AR-S3,3,0,12,16,True,0.3263141111489566
AR-S3,3,1,12,16,True,0.35300351079205056
AR-S3,3,2,12,16,True,0.4649135705177115
AR-S3,4,0,12,16,True,0.3260828915860933
AR-S3,4,1,12,16,True,0.3558856552402238
AR-S3,4,2,12,16,True,0.46461792350121295
AR-S4,0,0,12,16,True,0.41636005209053367
AR-S4,0,1,12,16,True,0.3390738398053966
AR-S4,0,2,12,16,True,0.4368900200542527
AR-S4,1,0,12,16,True,0.4157306824732774
AR-S4,1,1,12,16,True,0.3118936170931454
AR-S4,1,2,12,16,True,0.43335509907247116
AR-S4,2,0,12,16,True,0.41603449145253685
AR-S4,2,1,12,16,True,0.33264160365401213
AR-S4,2,2,12,16,True,0.43375500923259286
AR-S4,3,0,12,16,True,0.4147112175649287
AR-S4,3,1,12,16,True,0.3225131031283018
AR-S4,3,2,12,16,True,0.42966906197204524
AR-S4,4,0,12,16,True,0.41516671547653916
AR-S4,4,1,12,16,True,0.32730358983379804
AR-S4,4,2,12,16,True,0.4372020404032611
