scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S2,0,2,cubic_bspline,32,16,0.017100518798737956,8.078562316711443e-05,211.67774819739336,True,False
AR-S2,0,2,cubic_bspline,40,16,0.003680103077118671,8.078562316711443e-05,45.55393562423787,True,False
AR-S2,0,2,discrete_identity,64,16,8.078562316711443e-05,8.078562316711443e-05,1.0,True,True
AR-S2,1,0,cubic_bspline,24,16,0.03949495942863585,6.434185881069933e-05,613.8299414823291,True,False
AR-S2,1,0,cubic_bspline,28,16,0.02508315116135018,6.434185881069933e-05,389.8418793766514,True,False
AR-S2,1,0,cubic_bspline,32,16,0.012317622904476109,6.434185881069933e-05,191.44027126595583,True,False
AR-S2,1,0,cubic_bspline,40,16,0.0038441285237690278,6.434185881069933e-05,59.745375636082684,True,False
AR-S2,1,0,discrete_identity,64,16,6.434185881069933e-05,6.434185881069933e-05,1.0,True,True
AR-S2,1,1,cubic_bspline,24,16,0.08248092631389396,0.01912187827280864,4.313432244319956,True,False
AR-S2,1,1,cubic_bspline,28,16,0.02994663519450268,0.01912187827280864,1.5660927638623698,True,True
AR-S2,1,1,cubic_bspline,32,16,0.023903932597537914,0.01912187827280864,1.2500828766141332,True,True
AR-S2,1,1,cubic_bspline,40,16,0.01950504749073917,0.01912187827280864,1.020038262584037,True,True
AR-S2,1,1,discrete_identity,64,16,0.01912187827280864,0.01912187827280864,1.0,True,True
AR-S2,1,2,cubic_bspline,24,16,0.06127636636923361,0.00039411214464356943,155.4795182083294,True,False
AR-S2,1,2,cubic_bspline,28,16,0.03856674392191022,0.00039411214464356943,97.85728363379806,True,False
AR-S2,1,2,cubic_bspline,32,16,0.017104867662157557,0.00039411214464356943,43.40101642294481,True,False
AR-S2,1,2,cubic_bspline,40,16,0.003700264140522766,0.00039411214464356943,9.388860989983558,True,False
AR-S2,1,2,discrete_identity,64,16,0.00039411214464356943,0.00039411214464356943,1.0,True,True
AR-S2,2,0,cubic_bspline,24,16,0.03949497035913146,7.074335835274981e-05,558.2852055481513,True,False
AR-S2,2,0,cubic_bspline,28,16,0.02508316838812504,7.074335835274981e-05,354.5657001898617,True,False
