direction,mother_space,support,support_mask,lambda_0,lambda_2,oof_mse,oof_se,maximum_kkt,maximum_condition
sheet2_to_sheet1,V0,[0],1,10000.0,0.0001,0.05656861557336195,0.025608145677874814,3.675277078358722e-16,1.041211923452373
sheet2_to_sheet1,V0,[0],1,10000.0,0.01,0.05656861559993894,0.02560814570066688,3.4138516990488694e-16,1.0412107292131958
sheet2_to_sheet1,V0,[0],1,10000.0,1.0,0.056568618257350135,0.02560814797960092,2.0177182084162179e-16,1.041215017591114
sheet2_to_sheet1,V0,[0],1,10000.0,100.0,0.0565688811952741,0.025608373231186417,2.777472417724566e-16,1.155507181323327
sheet2_to_sheet1,V0,[0],1,10000.0,10000.0,0.05658137682711367,0.025618923921906605,1.2752710692500125e-15,16.55085282654737
sheet2_to_sheet1,V0,[0],1,1000000.0,0.0,0.056499390445559745,0.02551030148375595,1.6514301994590742e-16,1.000412120114754
sheet2_to_sheet1,V0,[0],1,1000000.0,0.0001,0.056499390445559766,0.025510301483755972,2.3873693998147017e-16,1.0004121192869433
sheet2_to_sheet1,V0,[0],1,1000000.0,0.01,0.056499390445562354,0.025510301483758185,2.1290884660278886e-16,1.0004121078455535
sheet2_to_sheet1,V0,[0],1,1000000.0,1.0,0.056499390445820946,0.025510301483979533,2.4524521976858407e-16,1.0004121524021317
sheet2_to_sheet1,V0,[0],1,1000000.0,100.0,0.056499390471677936,0.025510301506112394,1.7515540683855853e-16,1.0015551824345748
sheet2_to_sheet1,V0,[0],1,1000000.0,10000.0,0.05649939303386795,0.025510303697284496,2.744649092988414e-16,1.15557862352708
sheet2_to_sheet1,V0,[1],2,1e-06,0.0,0.07470925519063777,0.017208281512887467,2.604809344271628e-12,19163610477.34437
sheet2_to_sheet1,V0,[1],2,1e-06,0.0001,0.07422349157652278,0.017157639154955228,8.040961638551794e-12,2900079151.358132
sheet2_to_sheet1,V0,[1],2,1e-06,0.01,0.06745523024237483,0.01602316265597906,7.641439398269148e-12,803204450.2756658
sheet2_to_sheet1,V0,[1],2,1e-06,1.0,0.05606308934111241,0.019843693901582502,3.5310475630770136e-12,86649848.08408234
sheet2_to_sheet1,V0,[1],2,1e-06,100.0,0.0560841180971107,0.024419847674914036,2.320172430257166e-13,3879689.3603150565
sheet2_to_sheet1,V0,[1],2,1e-06,10000.0,0.05664461596276775,0.024771427875059333,1.9179838096968647e-13,966165.2543802202
sheet2_to_sheet1,V0,[1],2,0.0001,0.0,0.07437670173494682,0.017235907748845813,3.1535793169425746e-12,9120896629.178226
sheet2_to_sheet1,V0,[1],2,0.0001,0.0001,0.07394990363175817,0.017178037689067994,8.55377126682922e-12,2485866051.095133
sheet2_to_sheet1,V0,[1],2,0.0001,0.01,0.06735930565501831,0.01603359071479145,4.997700384636342e-12,767772513.602413
sheet2_to_sheet1,V0,[1],2,0.0001,1.0,0.05606208925199643,0.019845278206241854,1.8301835679101084e-12,86220942.09509774
sheet2_to_sheet1,V0,[1],2,0.0001,100.0,0.056084296160212335,0.024420221368894487,3.3424198469612186e-13,3878825.4340769164
sheet2_to_sheet1,V0,[1],2,0.0001,10000.0,0.0566446399221049,0.02477153275337258,1.234521788795492e-13,966111.6920457896
sheet2_to_sheet1,V0,[1],2,0.01,0.0,0.06634678082259046,0.016961326990167825,7.815468250325557e-12,170916955.3098928
sheet2_to_sheet1,V0,[1],2,0.01,0.0001,0.06628025630848353,0.016921123244720622,5.8198325406524375e-12,162678324.20172572
