direction,candidate,lambda,oof_mse,oof_se,fold_mse
sheet2_to_sheet1,AR:10,100.0,0.040607520407699854,0.018008083662975915,"[0.026131861077981485, 0.040948570531385974, 0.08999466852195977, 0.005354981499472185]"
sheet2_to_sheet1,AR:10,10000.0,0.04156514385814394,0.01831534678282754,"[0.026779222974809565, 0.042009643633412475, 0.09176935251066345, 0.005702356313690273]"
sheet2_to_sheet1,AR:10,1000000.0,0.04157524647904071,0.018318523710618928,"[0.02678620956798386, 0.04202078892177987, 0.0917878910878587, 0.005706096338540425]"
sheet2_to_sheet1,AR:20,1e-06,0.0345159880925565,0.013781375756492905,"[0.013301983504070861, 0.06135550480831595, 0.055079491046745074, 0.008326973011094155]"
sheet2_to_sheet1,AR:20,0.0001,0.033337994402651706,0.012831738222673398,"[0.014240248970984545, 0.05665207919438203, 0.05423724614196051, 0.008222403303279746]"
sheet2_to_sheet1,AR:20,0.01,0.0316950402329488,0.011270004498704392,"[0.01615039527725504, 0.04813045319119834, 0.05374410551461454, 0.008755206948727287]"
sheet2_to_sheet1,AR:20,1.0,0.028198994225203437,0.011084666238029449,"[0.024913893425592464, 0.022109873978877405, 0.059178980442504546, 0.006593229053839329]"
sheet2_to_sheet1,AR:20,100.0,0.03824393611285687,0.020235257828938223,"[0.01802631681886897, 0.03573393637776592, 0.09565263324204364, 0.0035628580127489693]"
sheet2_to_sheet1,AR:20,10000.0,0.039266564149266145,0.020892781946169503,"[0.017662459269595355, 0.03725486266327045, 0.09844778579160429, 0.003701148872594478]"
sheet2_to_sheet1,AR:20,1000000.0,0.039277681200167086,0.020899775222520792,"[0.01765888567189242, 0.03727136712563819, 0.098477664366545, 0.003702807636592765]"
sheet2_to_sheet1,AR:40,1e-06,0.0391607719431663,0.013526082735710054,"[0.07135253278594073, 0.006202576929085806, 0.04556948380789202, 0.03351849424974665]"
sheet2_to_sheet1,AR:40,0.0001,0.03877419762187148,0.013849167657452041,"[0.07155201332707002, 0.005480564100559381, 0.04673305024435315, 0.031331162815503355]"
sheet2_to_sheet1,AR:40,0.01,0.037466913973325515,0.013377961513418007,"[0.06884950415602521, 0.008663596041338269, 0.04901888674085835, 0.023335668955080213]"
sheet2_to_sheet1,AR:40,1.0,0.04439487570270679,0.015460774692650064,"[0.057807756151333274, 0.03501328237661697, 0.07838188034934962, 0.0063765839335272675]"
sheet2_to_sheet1,AR:40,100.0,0.04351523920792605,0.016847690871556832,"[0.04773806009708616, 0.034591263514113194, 0.08647133511296415, 0.005260298107540689]"
sheet2_to_sheet1,AR:40,10000.0,0.043040413834749894,0.01681358740861537,"[0.046452726681414105, 0.03410468387323729, 0.0863336868903828, 0.005270557893965349]"
sheet2_to_sheet1,AR:40,1000000.0,0.04303512804053757,0.016813211732594178,"[0.046438515048234694, 0.03409929600238936, 0.08633203617687538, 0.00527066493465087]"
sheet2_to_sheet1,STATE:2,1e-06,0.03697438983651788,0.00992734701014357,"[0.056585902772262005, 0.02715966879331357, 0.05015495776321416, 0.013997030017281767]"
sheet2_to_sheet1,STATE:2,0.0001,0.03698674366497207,0.009959174104578127,"[0.0565745279305519, 0.027186214009275664, 0.050294695079707005, 0.013891537640353729]"
sheet2_to_sheet1,STATE:2,0.01,0.038086798673936065,0.011981946896523548,"[0.055088721724104416, 0.029010867784097474, 0.05981383988830957, 0.008433765299232789]"
sheet2_to_sheet1,STATE:2,1.0,0.04276758750564408,0.01661844714628233,"[0.046839419275935025, 0.033888226289300424, 0.0852156676016554, 0.005127036855685444]"
sheet2_to_sheet1,STATE:2,100.0,0.043032276447075295,0.01681119025708467,"[0.046442518895179065, 0.034097057145177405, 0.08632045322206489, 0.005269076525879835]"
sheet2_to_sheet1,STATE:2,10000.0,0.04303504659473748,0.016813187750324674,"[0.0464384128345633, 0.03409921967053344, 0.08633190376860908, 0.005270650105244116]"
sheet2_to_sheet1,STATE:2,1000000.0,0.04303507430909696,0.016813207732545153,"[0.04643837175981054, 0.034099241303488056, 0.086332018315898, 0.005270665857191265]"
sheet2_to_sheet1,STATE:4,1e-06,0.04504913354296592,0.012683391595151774,"[0.06286713562566962, 0.03903119844466102, 0.06659999745674222, 0.01169820264479082]"
sheet2_to_sheet1,STATE:4,0.0001,0.04231494356334564,0.011595806119839748,"[0.05440090871391145, 0.038422399296429065, 0.06485246023108861, 0.011584006011953443]"
sheet2_to_sheet1,STATE:4,0.01,0.03857259334787237,0.011751133423054524,"[0.05626050435559457, 0.02904562023071154, 0.059191757744993204, 0.009792491060190185]"
sheet2_to_sheet1,STATE:4,1.0,0.042488419362307156,0.01642927931874651,"[0.04699401007015116, 0.033662231560599803, 0.08421839638177216, 0.005079039436705519]"
sheet2_to_sheet1,STATE:4,100.0,0.04302909137944867,0.016809097205328416,"[0.04644421181193457, 0.03409454451268317, 0.08630934122268481, 0.00526826797049212]"
sheet2_to_sheet1,STATE:4,10000.0,0.04303501470090795,0.016813166797956493,"[0.046438429779544675, 0.03409919451679057, 0.08633179252482433, 0.005270641982472245]"
sheet2_to_sheet1,STATE:4,1000000.0,0.04303507399015436,0.016813207523019288,"[0.046438371929261944, 0.034099241051947886, 0.08633201720344777, 0.005270665775959819]"
