scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S3,4,1,PERM,8,0.0019561398953766864,0.9997174184169622,0.016810163087784012,"[1.0000081027061216, 1.0000136713525767, 0.9766213504224012, 0.9897555233274684, 0.9404004195669616, 0.9524859435350619, 0.9616380961889112, 0.9183289227768665]",0.002101041941288616
AR-S3,4,1,PERM,9,0.0014563358695869504,0.9997191239860873,0.016759356011274942,"[0.9999956969740482, 1.0000197171034209, 0.987138710970178, 0.975736265475599, 0.9459801563628475, 0.9762292102708784, 0.9688400697668983, 0.91589126042548, 0.9486308732814445]",0.0021010018308472607
AR-S3,4,1,PERM,10,0.0013516182864074956,0.9997194180282603,0.016750581235878442,"[0.999997933623464, 1.0000243999624643, 1.0016989859218213, 0.974404535851232, 0.9724984545510835, 0.9784018177590096, 0.9446226515299302, 0.945536082615235, 0.930006114909506, 1.009499574034928]",0.002101010305864742
AR-S3,4,1,PERM,11,0.0012440353170486004,0.9997196972763823,0.016742243685291286,"[0.9999921198248289, 1.000033141578686, 1.0027532606157268, 0.9763574045405661, 0.9735028831021697, 0.9737297261486298, 0.947112483470918, 0.9539891692868533, 0.9365225185414234, 1.0099949943405735, 0.9799808842149994]",0.0021010105830562434
AR-S3,4,1,PERM,12,0.0011434176724229668,0.9997199374962787,0.016735068082359895,"[1.0000046400561922, 1.000033839872352, 1.001311198163193, 0.9823431015611023, 0.973426479919971, 0.9830166989662326, 0.9583065029416081, 0.9648274308835343, 0.9379708621386386, 1.013606862818502, 0.9843570058412454, 0.9659794461905122]",0.00210098737668644
AR-S3,4,2,PERM,1,0.6768849342575797,0.5415328665214738,0.6771020111316508,[1.0043442976900074],0.006010580061147269
AR-S3,4,2,PERM,2,0.004553421316555176,0.9996853471006757,0.017738458200314423,"[0.9999899544282882, 1.0000273351506435]",0.005895682114269291
AR-S3,4,2,PERM,3,0.00390679890506955,0.9996908176686771,0.017583581299692497,"[0.9999903709875924, 1.0000333935381354, 0.9348900091580414]",0.005895639697010117
AR-S3,4,2,PERM,4,0.0033547091120730128,0.9996948266731351,0.017469210825474306,"[0.9999853469420048, 1.0000361424575326, 0.9630655099715058, 0.9178232802613968]",0.005895624453646193
AR-S3,4,2,PERM,5,0.0025265336024307273,0.9996996973743175,0.0173292419246329,"[0.9999945015077738, 1.0000252988034306, 0.9781350248033002, 0.9534195245331889, 0.9365732641425093]",0.00589567636874042
AR-S3,4,2,PERM,6,0.0019031720996903936,0.9997024586823208,0.017249386008762253,"[1.0000113507215125, 1.000030278423781, 0.9867223776308753, 0.9854006594466607, 0.957073126606429, 0.9971309180674366]",0.005895633998616989
AR-S3,4,2,PERM,7,0.0016821501026735223,0.9997032511173939,0.017226400744385563,"[1.000019687901761, 1.0000266215707259, 0.9737181479399828, 0.9718413140096273, 0.9688383695248497, 0.9664559180012656, 0.9908672939693541]",0.005895634128374627
AR-S3,4,2,PERM,8,0.001561505099413247,0.9997036424481862,0.017215038536516163,"[1.0000225817636474, 1.0000255740399417, 1.0004745474794368, 0.9924111969494395, 0.9761078034365279, 0.9735446317693783, 1.0092933585839348, 0.9832303228469872]",0.0058956107481443545
AR-S3,4,2,PERM,9,0.001382284416749178,0.999704170036153,0.01719970824889279,"[1.000028170628583, 1.0000199278624573, 0.9984986148594042, 0.9732361224655813, 0.9780358846601379, 0.9914769382295527, 1.0244236738670736, 1.0032090667910505, 0.9880724449382585]",0.0058956180121970386
AR-S3,4,2,PERM,10,0.0012588665905063651,0.9997044960012691,0.01719022974631043,"[1.0000259636978623, 1.0000165768095592, 1.0020384612818516, 0.9720028144896923, 0.9811795070157664, 0.9922139035047327, 1.0332923775466465, 1.020385406516676, 0.997967231781153, 0.9393465628975659]",0.005895601414459063
AR-S3,4,2,PERM,11,0.0010312936151145673,0.9997050171798412,0.017175063905523584,"[1.0000127985292822, 0.999995304058649, 1.0001908722695643, 0.9748810299625883, 0.9792869596518942, 0.9975165211408569, 1.047387004705932, 1.011929261768008, 1.0187490126475256, 0.9806320615629744, 1.0018655707802555]",0.005895741099891049
AR-S3,4,2,PERM,12,0.000826089573487677,0.9997053983223784,0.017163964507702408,"[1.0000214420578453, 0.9999897045447097, 0.9989418626641056, 0.9914876303389344, 0.9902186251049265, 0.9941520997722584, 1.0036293810215455, 1.007253970512919, 1.0242789128111482, 1.007082168361951, 1.01259547173235, 1.019716247956422]",0.0058957655515002455
AR-S4U,0,0,PERM,1,0.612713160574399,0.6241841503514751,0.6130382122254084,[0.9895865010041],-0.0031277874700573007
AR-S4U,0,0,PERM,2,0.3959560537672326,0.8428203709776246,0.39645886170241584,"[0.9931426499910367, 1.0198663481069887]",-0.003145431207015084
AR-S4U,0,0,PERM,3,0.2406924778420327,0.9416686986028069,0.24151873922574446,"[0.9934741725774441, 0.9908785019079781, 1.0106179350555649]",-0.00316375251590818
AR-S4U,0,0,PERM,4,0.11960818598753017,0.9852954493373166,0.12126232169426475,"[0.9965391130860215, 0.9950658664229768, 1.0011754840408609, 1.00631835216514]",-0.003162915975549289
AR-S4U,0,0,PERM,5,0.050382634582136335,0.9970631576251072,0.054192641335266405,"[0.9997283200208228, 0.9992583990604428, 0.9991502477146982, 1.0013788286281629, 0.9916364243079528]",-0.0031200862986020808
AR-S4U,0,0,PERM,6,0.02191058349287555,0.999121493823546,0.02963960486332458,"[1.0002667766691422, 0.9999034437021501, 1.0005571612568387, 0.9991380947187932, 1.000111185194361, 0.9803397051621121]",-0.003121643834948057
