scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S3,4,0,discrete_identity,64,20,0.00019245959000967184,-4.366381614835827,3.9993204059692293
AR-S3,4,0,cubic_bspline,32,24,0.007760732677893771,-4.366381614835827,3.9993204059692293
AR-S3,4,0,discrete_identity,64,24,6.0580226410138345e-05,-4.366381614835827,3.9993204059692293
AR-S3,4,1,cubic_bspline,32,16,0.016490129468528444,-4.124539588728646,4.759383036705095
AR-S3,4,1,discrete_identity,64,16,0.0013335624668840032,-4.124539588728646,4.759383036705095
AR-S3,4,1,cubic_bspline,32,20,0.01643998099842205,-4.124539588728646,4.759383036705095
AR-S3,4,1,discrete_identity,64,20,0.0003557778259455111,-4.124539588728646,4.759383036705095
AR-S3,4,1,cubic_bspline,32,24,0.016436397218018286,-4.124539588728646,4.759383036705095
AR-S3,4,1,discrete_identity,64,24,9.341540306790247e-05,-4.124539588728646,4.759383036705095
AR-S3,4,2,cubic_bspline,32,16,0.015499777175141782,-4.087787184343996,4.596657531489536
AR-S3,4,2,discrete_identity,64,16,0.00017009742539450805,-4.087787184343996,4.596657531489536
AR-S3,4,2,cubic_bspline,32,20,0.015498926840515721,-4.087787184343996,4.596657531489536
AR-S3,4,2,discrete_identity,64,20,5.0643148218560393e-05,-4.087787184343996,4.596657531489536
AR-S3,4,2,cubic_bspline,32,24,0.015498857294759026,-4.087787184343996,4.596657531489536
AR-S3,4,2,discrete_identity,64,24,2.0204382459324964e-05,-4.087787184343996,4.596657531489536
AR-S4U,0,0,cubic_bspline,32,16,0.051147669803693264,-4.067165448049297,4.649118871680332
AR-S4U,0,0,discrete_identity,64,16,0.048163882840906246,-4.067165448049297,4.649118871680332
AR-S4U,0,0,cubic_bspline,32,20,0.029516792851321867,-4.067165448049297,4.649118871680332
AR-S4U,0,0,discrete_identity,64,20,0.023819745651040405,-4.067165448049297,4.649118871680332
AR-S4U,0,0,cubic_bspline,32,24,0.02091118207543091,-4.067165448049297,4.649118871680332
AR-S4U,0,0,discrete_identity,64,24,0.011507295394872651,-4.067165448049297,4.649118871680332
AR-S4U,0,1,cubic_bspline,32,16,0.016979690394493176,-4.521443420064528,5.213319289809546
AR-S4U,0,1,discrete_identity,64,16,0.00842588242741415,-4.521443420064528,5.213319289809546
AR-S4U,0,1,cubic_bspline,32,20,0.015395409982217697,-4.521443420064528,5.213319289809546
AR-S4U,0,1,discrete_identity,64,20,0.004432648046276301,-4.521443420064528,5.213319289809546
