scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S1,4,1,discrete_identity,64,24,1.8886830142110464e-15,-2.2906900525016143,2.279082864773441
AR-S1,4,2,cubic_bspline,32,16,0.0013310029194209488,-2.257215117611226,2.3981551057401846
AR-S1,4,2,discrete_identity,64,16,0.0012960504962783294,-2.257215117611226,2.3981551057401846
AR-S1,4,2,cubic_bspline,32,20,0.0004942030847502319,-2.257215117611226,2.3981551057401846
AR-S1,4,2,discrete_identity,64,20,0.0003904032096821318,-2.257215117611226,2.3981551057401846
AR-S1,4,2,cubic_bspline,32,24,0.0003410239034940737,-2.257215117611226,2.3981551057401846
AR-S1,4,2,discrete_identity,64,24,0.00015644573551278987,-2.257215117611226,2.3981551057401846
AR-S2,0,0,cubic_bspline,32,16,0.012500007096255867,-2.2392036121985504,2.3304662560063854
AR-S2,0,0,discrete_identity,64,16,0.0021286545290422672,-2.2392036121985504,2.3304662560063854
AR-S2,0,0,cubic_bspline,32,20,0.012325201358363179,-2.2392036121985504,2.3304662560063854
AR-S2,0,0,discrete_identity,64,20,0.000436947045709476,-2.2392036121985504,2.3304662560063854
AR-S2,0,0,cubic_bspline,32,24,0.01231816097270803,-2.2392036121985504,2.3304662560063854
AR-S2,0,0,discrete_identity,64,24,0.00013190003384498005,-2.2392036121985504,2.3304662560063854
AR-S2,0,1,cubic_bspline,32,16,0.014346672953089569,-2.278872923890555,2.4155175266174314
AR-S2,0,1,discrete_identity,64,16,2.604364688306857e-15,-2.278872923890555,2.4155175266174314
AR-S2,0,1,cubic_bspline,32,20,0.01434667295308956,-2.278872923890555,2.4155175266174314
AR-S2,0,1,discrete_identity,64,20,1.8940755622920525e-15,-2.278872923890555,2.4155175266174314
AR-S2,0,1,cubic_bspline,32,24,0.014346672953089603,-2.278872923890555,2.4155175266174314
AR-S2,0,1,discrete_identity,64,24,1.2059680537690308e-15,-2.278872923890555,2.4155175266174314
AR-S2,0,2,cubic_bspline,32,16,0.017165657929092585,-2.2916930182100392,2.2940970227536126
AR-S2,0,2,discrete_identity,64,16,0.0014964117631133336,-2.2916930182100392,2.2940970227536126
AR-S2,0,2,cubic_bspline,32,20,0.017106310751112436,-2.2916930182100392,2.2940970227536126
AR-S2,0,2,discrete_identity,64,20,0.00045244734196300265,-2.2916930182100392,2.2940970227536126
AR-S2,0,2,cubic_bspline,32,24,0.017101286365965886,-2.2916930182100392,2.2940970227536126
AR-S2,0,2,discrete_identity,64,24,0.00018106954639984747,-2.2916930182100392,2.2940970227536126
AR-S2,1,0,cubic_bspline,32,16,0.012511321113836162,-2.303147638523005,2.2307844309591336
AR-S2,1,0,discrete_identity,64,16,0.002194126626024747,-2.303147638523005,2.2307844309591336
AR-S2,1,0,cubic_bspline,32,20,0.01233142181218022,-2.303147638523005,2.2307844309591336
AR-S2,1,0,discrete_identity,64,20,0.0005867890422146534,-2.303147638523005,2.2307844309591336
AR-S2,1,0,cubic_bspline,32,24,0.012318814139714937,-2.303147638523005,2.2307844309591336
AR-S2,1,0,discrete_identity,64,24,0.000183008524596727,-2.303147638523005,2.2307844309591336
AR-S2,1,1,cubic_bspline,32,16,0.014346672953089524,-2.382253556697118,2.1976954931311274
AR-S2,1,1,discrete_identity,64,16,1.3607350281072348e-15,-2.382253556697118,2.1976954931311274
AR-S2,1,1,cubic_bspline,32,20,0.014346672953089562,-2.382253556697118,2.1976954931311274
AR-S2,1,1,discrete_identity,64,20,8.408848184134607e-16,-2.382253556697118,2.1976954931311274
AR-S2,1,1,cubic_bspline,32,24,0.014346672953089558,-2.382253556697118,2.1976954931311274
AR-S2,1,1,discrete_identity,64,24,1.6246654770363127e-15,-2.382253556697118,2.1976954931311274
