scenario,seed,partition,r2_y_x_truth,r2_y_ar_truth,r2_y_xar_truth,r2_x_self,target_variance,x_variance_ratio,ar_variance_ratio,process_variance_ratio,noise_variance_ratio,active_contribution_variances
AR-S3,3,train,0.19768915400606568,0.915961428840257,0.9804043285059763,1.0,4.823232299149804,0.063542456573406,0.7578503387855712,0.008579646271991813,0.010700072578319942,"[0.10615930884415128, 0.09136873346791947, 0.13066333717347578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,3,validation,0.1740790587128479,0.9177738652918243,0.9827661519948593,1.0,5.036775563943506,0.0646278945991916,0.7576972321844805,0.007807520484664325,0.009955479880158383,"[0.10159547605080371, 0.09666871214475324, 0.12584907948651367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,3,test,0.20685956010712703,0.9165946003272372,0.9839794992520775,1.0,5.5823639196103265,0.06590904748808589,0.7535010267132377,0.007075977185177579,0.00939712832858964,"[0.11834729090808273, 0.1114819093998869, 0.1238490820697563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,4,train,0.2227544893569977,0.9261302226789963,0.983221843699689,1.0,5.96997912795835,0.05654217880032931,0.7588737570893951,0.006793016197561223,0.010136582477966501,"[0.10071300480515036, 0.10203824781054918, 0.12345947479858789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,4,validation,0.2174434313768545,0.902120056208469,0.9811372523922519,1.0,5.06526752475042,0.0750473958465025,0.7410453794651679,0.007409684749658028,0.011903588833766849,"[0.1004424525364813, 0.14032408726096193, 0.12712041632331425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S3,4,test,0.23033504453203546,0.9335449650284062,0.987011905896487,1.0,7.564173236559478,0.05478536496127954,0.7681547736976077,0.005308065745351609,0.007785427496861172,"[0.11074859153320891, 0.09991696033656311, 0.15218223072925616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,0,train,0.2357598751821507,0.8848396074329394,0.9825345562351615,1.0,6.062565506653695,0.09726273242745662,0.7355201185770669,0.0066589995405374105,0.01086586430190359,"[0.19284081129309655, 0.17729004170670248, 0.196385793002495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,0,validation,0.23351204837793815,0.8914675842701798,0.9816969455658049,1.0,5.84464487692034,0.09386181106077134,0.7420235343182844,0.0067412040858594565,0.011040698181567955,"[0.16034981908362855, 0.1538055590890093, 0.17121472466430301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,0,test,0.24657526147903241,0.9174041694702461,0.9886755995894237,1.0,9.184910545061463,0.07041187585983068,0.7411103728983438,0.004251667927545773,0.006852022804021179,"[0.20425669212977246, 0.20902167598722168, 0.18877011325889845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,1,train,0.1461991074900536,0.8960444735969586,0.9839803617994076,1.0,6.831607242943968,0.0847288976474014,0.7360113726221471,0.005928930352884916,0.010374852231045912,"[0.2024368886075473, 0.16498325285669635, 0.1914489690660141, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
