scenario,seed,variable,truth_class,rank_010,rank_005,rank_002,sigma_1_to_12,tail_1_to_12,cumulative_1_to_12,tail_beyond_rank_max
AR-S2,4,1,near_rank1,1,1,1,"[0.02583669953155445, 8.442469154984897e-07, 5.777781706732634e-18, 8.336952842626639e-19, 7.83954608802029e-19, 7.233987670145226e-19, 6.708778729234853e-19, 6.18006249851464e-19, 5.154894719443367e-19, 4.0348099197909737e-19, 3.038911687794222e-19, 2.688894460996243e-19]","[3.267626788075971e-05, 2.34828138071561e-16, 7.166067425627184e-17, 6.39846602344165e-17, 5.633257268532279e-17, 4.888170630040431e-17, 4.1414777174694686e-17, 3.380874808077819e-17, 2.7293879764690708e-17, 2.2384775470302444e-17, 1.9045566727161432e-17, 1.595062359396226e-17]","[0.9999999989322614, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.595062359396226e-17
AR-S2,4,2,near_rank1,1,1,1,"[0.022386679519966323, 5.42246698393788e-07, 5.777008198875978e-18, 8.275252031612635e-19, 6.761096476890578e-19, 5.732680920347457e-19, 4.303390808216847e-19, 3.918598081736311e-19, 3.114226524855005e-19, 2.679979209113272e-19, 2.591118192110623e-19, 2.368347783344788e-19]","[2.4221845752117876e-05, 2.663768516776517e-16, 6.606005018570931e-17, 5.4749554701043444e-17, 4.566604428413322e-17, 3.7810591215031635e-17, 3.255944074436188e-17, 2.7453995993393204e-17, 2.366862996051738e-17, 2.0417926874522595e-17, 1.682039196940212e-17, 1.3076872097774214e-17]","[0.9999999994133021, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.3076872097774214e-17
AR-S3,0,0,weak_rank2,1,1,2,"[0.02555727112522338, 0.0008836644220737077, 3.974430586702549e-07, 5.5154839248802694e-18, 9.015619300303755e-19, 7.518579726341854e-19, 6.260228412015018e-19, 5.021322116959132e-19, 4.504505799543013e-19, 3.8176587098071003e-19, 3.5951462831669127e-19, 2.947207847332771e-19]","[0.03455520639534653, 1.5541788478277287e-05, 2.2523998600983296e-16, 6.492477346618087e-17, 5.451885821276281e-17, 4.591174094598616e-17, 3.8840754244104026e-17, 3.3511899865346e-17, 2.8509168125693916e-17, 2.428796748685103e-17, 1.9805570241164376e-17, 1.6107063368413756e-17]","[0.998805937710975, 0.9999999997584529, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.6107063368413756e-17
AR-S3,0,1,strong_rank2,2,2,2,"[0.023339025221058643, 0.015799562957424466, 7.923655607167026e-07, 5.093991925724669e-18, 3.989157336842136e-18, 3.076200303298978e-18, 1.9986396142495296e-18, 1.2826427784068303e-18, 1.2003139133244305e-18, 9.831248964247475e-19, 8.2581039009104375e-19, 6.5926288761690655e-19]","[0.5605868069067637, 2.8114048484976205e-05, 2.7733502358732406e-16, 2.1035089978255297e-16, 1.5560832369734216e-16, 1.109091951292972e-16, 8.527629841757269e-17, 7.211739462876949e-17, 5.819910494949605e-17, 4.6587050052885726e-17, 3.6219078371995825e-17, 2.765254983174468e-17]","[0.6857424319220791, 0.9999999992096005, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]",2.765254983174468e-17
AR-S3,0,2,strong_rank2,2,2,2,"[0.023226373656110938, 0.01680562435869027, 1.075888562400658e-06, 6.403282666427766e-18, 4.96421819589959e-18, 3.486760044151668e-18, 2.551403697801869e-18, 1.989071579790345e-18, 1.346517713175916e-18, 9.371927826759085e-19, 8.489796016067882e-19, 7.351943840478344e-19]","[0.5862014583927647, 3.752835536448201e-05, 3.368433021130037e-16, 2.521430735811055e-16, 1.832821912552622e-16, 1.3711419876599414e-16, 1.0430714923882807e-16, 7.788588893070018e-17, 6.213047449564751e-17, 5.2834921881279624e-17, 4.375580607676041e-17, 3.54532032320404e-17]","[0.6563678501781958, 0.9999999985916226, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.54532032320404e-17
AR-S3,1,0,weak_rank2,1,1,2,"[0.025487933647747946, 0.0008857016520716585, 4.822755686432787e-07, 5.205683035215717e-18, 8.547897125585351e-19, 8.126297345086013e-19, 6.446416453241679e-19, 5.366300332368723e-19, 4.915980772317168e-19, 4.2901776713824703e-19, 3.129871229259147e-19, 1.9493158146870492e-19]","[0.03472888442158819, 1.8910306829192e-05, 2.1432308916690474e-16, 6.534738188738409e-17, 5.609727413067595e-17, 4.616935818630757e-17, 3.8635401544308775e-17, 3.240287462222345e-17, 2.6045882091313652e-17, 1.988484434166666e-17, 1.564592718012999e-17, 1.3651877566986577e-17]","[0.9987939045868319, 0.9999999996424003, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.3651877566986577e-17
AR-S3,1,1,strong_rank2,2,2,2,"[0.02240857284832005, 0.01562554170953429, 1.0001232589816524e-06, 6.459909578501861e-18, 4.461923376991405e-18, 2.7131685824140216e-18, 1.4630582218599093e-18, 1.2867995930211429e-18, 1.051072668234606e-18, 9.27853188286929e-19, 6.72178283653006e-19, 4.782062360189613e-19]","[0.5719760843485688, 3.6609712162327694e-05, 3.192011371298815e-16, 2.1441329863646119e-16, 1.3891185992039014e-16, 9.712271221861533e-17, 8.102237624308105e-17, 6.592329172038794e-17, 5.3531074057030866e-17, 4.137638810430699e-17, 3.3265426620551214e-17, 2.828726496029126e-17]","[0.672843358933279, 0.999999998659729, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.828726496029126e-17
AR-S3,1,2,strong_rank2,2,2,2,"[0.023842215969083234, 0.017448915517902865, 6.346016953390936e-07, 8.028051688908067e-18, 5.554065908461517e-18, 4.3787437399496866e-18, 2.836640117043142e-18, 2.5500350651959774e-18, 1.926201595561293e-18, 9.873890831932233e-19, 8.214979613403635e-19, 7.145954757016173e-19]","[0.5905847579082377, 2.1479047679358185e-05, 3.945328559701871e-16, 2.8604827849409766e-16, 2.1560378641980133e-16, 1.5658934629913999e-16, 1.2370221033176057e-16, 8.861636916134649e-17, 6.002040098459073e-17, 4.985553536663028e-17, 4.138194887988585e-17, 3.357791144501391e-17]","[0.6512096437264683, 0.9999999995386506, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.357791144501391e-17
AR-S3,2,0,weak_rank2,1,1,2,"[0.025738302519807743, 0.0008790524317548909, 2.2938475657855693e-07, 6.233342439506754e-18, 8.728251437418964e-19, 8.082794152012931e-19, 6.921526997860854e-19, 5.602898314201318e-19, 4.827944791595695e-19, 4.614242613705896e-19, 3.9278541090502876e-19, 2.695204207050193e-19]","[0.03413357269400194, 8.907001123205471e-06, 2.513969878065444e-16, 6.794754895397148e-17, 5.889157489758862e-17, 4.983142197221237e-17, 4.196233004889698e-17, 3.588192030296899e-17, 3.0595200478992325e-17, 2.480008711792614e-17, 1.9555705880029175e-17, 1.6519673869536643e-17]","[0.9988348992151432, 0.9999999999206652, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.6519673869536643e-17
AR-S3,2,1,strong_rank2,2,2,2,"[0.024004690481371316, 0.01592575243045134, 1.8672431638602912e-06, 4.592464735372339e-18, 3.5583353552418516e-18, 2.3961662210011703e-18, 1.7914343760414866e-18, 1.3055039653574897e-18, 1.2660541064611688e-18, 9.383408993551238e-19, 7.630601340299337e-19, 5.581562638875482e-19]","[0.5528393131737576, 6.481862792038568e-05, 2.4176959958439505e-16, 1.8176240272150818e-16, 1.3334084149878692e-16, 1.0421594792543522e-16, 8.362856167627944e-17, 7.028481005690933e-17, 5.484906691270717e-17, 4.4129477783049625e-17, 3.529545341816944e-17, 2.950179402913951e-17]","[0.694368693809568, 0.9999999957985455, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.950179402913951e-17
AR-S3,2,2,strong_rank2,2,2,2,"[0.02388712310744435, 0.017480320548018843, 1.0353125262275151e-06, 5.986636779076321e-18, 4.2535792472376695e-18, 3.443311851905657e-18, 2.9881994167695052e-18, 2.4978658607787056e-18, 1.1084593020790537e-18, 8.830700230575928e-19, 8.356694812262356e-19, 7.06515788768964e-19]","[0.5905526320402793, 3.497684922859469e-05, 3.1179549264844477e-16, 2.3729873454832873e-16, 1.8883944491828518e-16, 1.4875500189268765e-16, 1.0925457818841119e-16, 6.939240509537573e-17, 5.842046714590588e-17, 5.0228603769822956e-17, 4.154345985612156e-17, 3.400203118729752e-17]","[0.6512475887902986, 0.9999999987766202, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]",3.400203118729752e-17
AR-S3,3,0,weak_rank2,1,1,2,"[0.025799140762779078, 0.0008767908727852933, 2.5218247760178267e-07, 6.306751995528113e-18, 9.993547057227363e-19, 7.799792838037911e-19, 7.556757196181348e-19, 6.529279146302264e-19, 5.089292076554832e-19, 4.397093055388176e-19, 3.1184232615425565e-19, 2.8352698720278474e-19]","[0.03396566610556366, 9.769200094878574e-06, 2.5458840822857793e-16, 7.159270590644823e-17, 6.02226811587357e-17, 5.209420216132757e-17, 4.309116729134044e-17, 3.488676486954563e-17, 2.8781882130428024e-17, 2.3200189380918715e-17, 1.980692231927939e-17, 1.6482662147188844e-17]","[0.9988463335260053, 0.9999999999045627, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.6482662147188844e-17
AR-S3,3,1,strong_rank2,2,2,2,"[0.022168894382996806, 0.015798495476572888, 1.4748114789993136e-06, 5.4113767566613046e-18, 3.780761196955138e-18, 2.736603226292201e-18, 1.85937906695206e-18, 1.2904962603123535e-18, 9.733197523021026e-19, 8.785763450562897e-19, 7.770939813065569e-19, 6.32053800661808e-19]","[0.5803517397233996, 5.4176640120009554e-05, 2.83408673172549e-16, 2.02002600694461e-16, 1.4668352058003072e-16, 1.0681835093455808e-16, 8.212661221225494e-17, 6.706311937297759e-17, 5.673689659259736e-17, 4.6663191812329335e-17, 3.691293722575981e-17, 2.869629761856092e-17]","[0.6631918582000235, 0.9999999970648916, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.869629761856092e-17
