scenario,seed,variable,rank,validation_contribution_r2,empirical_operator_nrmse,normalized_excess_rmse,core_surface_nrmse,modal_gains,refit_intercept
AR-S4U,1,0,4,0.9916339547812122,0.09146608780738283,0.0906326804003651,0.08968549496213728,"[1.000070630157985, 0.9999314870452326, 0.9997428470913933, 1.0010503323770787]",-0.015623712049089088
AR-S4U,1,0,5,0.9981159491651649,0.043405654410860944,0.04162076852488372,0.04323516385313108,"[1.0000403852235775, 0.9999236910484918, 0.999995750864264, 1.0001524205131216, 0.9990155146624956]",-0.01562003306246402
AR-S4U,1,0,6,0.9995651061577188,0.020854108522811762,0.016826508254776718,0.02063198481369675,"[1.0000202878254245, 0.9999950509807608, 1.0000939046132764, 1.0000439257157792, 0.9998826234895729, 1.0016748952457344]",-0.015619620278452975
AR-S4U,1,0,7,0.9998019672425523,0.014072411216551449,0.006802227224562676,0.013834938922265106,"[0.9999935080840672, 0.9999860851111974, 1.0000335052745748, 1.0000738122907853, 1.0001894165985288, 1.0009398965798926, 0.9992460258195632]",-0.015620046172931947
AR-S4U,1,0,8,0.9998474116234431,0.012352666779156618,0.0009087982855057228,0.012202600110393914,"[1.0000008823847057, 1.0000031159845466, 1.0000414590736368, 1.0000140887992393, 1.0001802659721715, 1.000506832814922, 0.9999608216457437, 1.001852504408486]",-0.015620396734287776
AR-S4U,1,0,9,0.9998498602498489,0.012253152661705149,0.0,0.012106294888068308,"[1.000002259316304, 1.000009351414327, 1.0000214763689486, 1.0000248890356966, 1.0001062124102924, 1.0005192395336744, 0.9996230065470465, 1.0013327459030248, 0.9996952958706526]",-0.015620393513576946
AR-S4U,1,0,10,0.999849580407472,0.012264566544643743,0.0,0.012100440959442444,"[1.000002042133076, 1.0000093885261099, 1.0000137891453569, 1.00002995465971, 1.000060155265662, 1.0003069485952047, 1.0003487807429672, 1.001193369823544, 1.0011175532335153, 1.0133133952650752]",-0.01562041558660936
AR-S4U,1,0,11,0.9998491642395366,0.01228152109729623,0.0,0.012105837662723962,"[1.000002796180751, 1.0000085221773052, 1.000009173626905, 1.0000308864666507, 1.0000660648821316, 1.0002394530154484, 1.0006794281606233, 1.0013285969215608, 1.0022487125637707, 1.0185470149175635, 1.0025218456006608]",-0.015620418021486743
AR-S4U,1,0,12,0.9998486165127538,0.012303799707659234,0.0,0.01210986347487121,"[1.0000042925713726, 1.0000091036145935, 1.0000147919726579, 1.000023936013514, 1.000086998214615, 1.0002834528929179, 1.0005636518681091, 1.001728732193801, 1.0018512996785658, 1.0185034059633136, 1.005564202380342, 1.1807507087497062]",-0.015620429955901663
AR-S4U,1,1,1,0.6041150750931803,0.6291938690950666,0.6291376423927566,0.6280985037479057,[0.9986935051019774],0.3782512798423678
