task,Lx,Ly,horizon,fold,block,block_index,ridge_alpha,eigen_index,eigenvalue,trace,effective_rank,entropy_rank,lambda1_fraction,lambda10_over_lambda1,condition_estimate,coercive_dimension_1e-2,coercive_dimension_1e-3,coercive_dimension_1e-4
medium,256,32,15,2,晶升速度,1,1e-08,3,5.134417573002424,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,4,3.7938291729939895,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,5,2.969879261460816,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,6,1.5896955137876372,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,7,1.1424930286741635,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,8,1.0103085450059863,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,9,0.8682788922763551,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,10,0.7074656292487713,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,11,0.6273819718712769,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,12,0.5474692332249045,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,13,0.4655494137179195,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
