scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S4U,0,2,NAT,9,0.0,0.9996176874427996,0.019552814559558075,"[0.9999560689351178, 0.9998934389610492, 1.0001250538666238, 1.0004321803681446, 1.001814075931877, 1.0075432792876766, 1.0061023272806144, 0.9856043932182094, 0.9330874236283809]",-0.00346885774981947
AR-S4U,0,2,NAT,10,0.0,0.9996120957482278,0.019695285013732994,"[0.9999097676102158, 0.9998244546200804, 0.9999676409457018, 1.0004075054031991, 1.0019967784325017, 1.0075928459149546, 1.004865608863172, 0.9970570573282466, 0.9544259219188795, 1.0473043966845919]",-0.003468075454723397
AR-S4U,0,2,NAT,11,0.0,0.999608242344535,0.019792868803307176,"[0.9999093873620097, 0.9998555837265227, 1.0000448774126665, 1.0000892276030218, 1.0014750648376536, 1.005482574539196, 1.0029859034373427, 1.0008294788856689, 0.9528729647315304, 1.021476782195926, 1.049383367786574]",-0.003467526064741209
AR-S4U,0,2,NAT,12,0.0,0.9996078989345224,0.019801541997470837,"[0.9999525072654172, 0.9998897649147309, 0.9999310357400962, 1.0001097561259358, 1.0015197027108225, 1.0061941943603345, 1.0047791833278945, 1.002495580261117, 0.9839666878497987, 1.0291928104294168, 1.0370688561181431, 1.0601906645327497]",-0.003466904867460049
AR-S4U,1,0,NAT,1,0.43400143742166997,0.8114777635172236,0.43419147444736456,[1.0302775989491182],-0.03992901005521227
AR-S4U,1,0,NAT,2,0.23506272110431686,0.9445805283483334,0.23541340584526319,"[1.0238661067196133, 1.0038728623810813]",-0.03995896874061378
AR-S4U,1,0,NAT,3,0.12916616121790606,0.9831511139975292,0.12980325882839328,"[0.9984568993711953, 0.9991081969732049, 1.0213462756722353]",-0.03998683840894127
AR-S4U,1,0,NAT,4,0.06322936297485891,0.9958370588590928,0.06452085818483207,"[0.9990638464014914, 0.9980462899778019, 0.9968160741249322, 0.9962279182587424]",-0.03999645276390466
AR-S4U,1,0,NAT,5,0.027510100538599643,0.9990782055696554,0.03036106767464896,"[1.0000099557572608, 0.9981360587471709, 0.9999052997668222, 1.001188964423449, 0.9933298966407017]",-0.0399763724903386
AR-S4U,1,0,NAT,6,0.01054164034105161,0.9997238850202191,0.01661670785025845,"[1.0002049286539951, 0.9999332098323176, 0.9997307013574397, 1.0008373220005498, 1.0063577818589688, 1.0146415167431673]",-0.0399743008542905
AR-S4U,1,0,NAT,7,0.0038036226942832524,0.9998205436556988,0.013396131691694452,"[1.0000556582368052, 1.0001155723829074, 0.9998318711263908, 1.0003015766218626, 1.006231429009039, 1.0209587313887074, 1.052957989931183]",-0.039987138639830375
AR-S4U,1,0,NAT,8,0.0,0.999838019950641,0.012727138302030644,"[1.000036388341335, 1.0000673735651442, 0.9999490408207146, 1.000774404282542, 1.0057693760908628, 1.0187572214502774, 1.0508808163255283, 1.1099131605653942]",-0.03998654833461158
AR-S4U,1,0,NAT,9,0.0,0.9998390206152533,0.012687765159658412,"[1.0000370951910615, 1.0000895901177933, 1.0000164540411205, 1.0008712317652155, 1.0054007570505983, 1.0164835082900139, 1.051848335076593, 1.110666772347636, 1.0458868690135608]",-0.03998650313302213
AR-S4U,1,0,NAT,10,0.0,0.9998408093578751,0.012617077400288204,"[1.000104839519125, 1.0000496398181322, 1.00007929606839, 1.0008628671989444, 1.0053196368249009, 1.0153058664370178, 1.0504050944076864, 1.1143398254088253, 1.0361703709346781, 1.0648969400258925]",-0.03998617120925608
AR-S4U,1,0,NAT,11,0.0,0.9998382798189888,0.012716924982527087,"[1.0000913195796461, 1.0000598070009188, 1.0001233925082493, 1.0009812874462807, 1.0043789871602797, 1.0161703106825792, 1.0466935261675103, 1.1154731649145515, 1.0622146852414098, 1.020979763386311, 1.2015367355226334]",-0.03998600465205824
