baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,22,-0.0049367939462572,-0.004941429162936838,-0.006790337987441991,-0.0032882351979714166,0.0
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,40,-0.0049367939462572,-0.005001001757905311,-0.006956263154501805,-0.0030324472288737274,0.0
R1-LIN-DERIVED,LIN-UOI,sheet2_to_sheet1,60,-0.0049367939462572,-0.004861062789802763,-0.006611567047582379,-0.0029787383779026136,0.0
R1-LIN-DERIVED,LIN-UOI,pooled,10,-0.0026489300465698247,-0.002761503270139935,-0.009226124050820534,0.004322092174990828,0.216
R1-LIN-DERIVED,LIN-UOI,pooled,22,-0.0026489300465698247,-0.0032043717042580674,-0.01211354081931724,0.005296145952521695,0.231
R1-LIN-DERIVED,LIN-UOI,pooled,40,-0.0026489300465698247,-0.0038249123909037163,-0.014032063245709278,0.005653759637824337,0.212
R1-LIN-DERIVED,LIN-UOI,pooled,60,-0.0026489300465698247,-0.003995503766926922,-0.013841546226048319,0.006243651064917627,0.225
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet1_to_sheet2,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,sheet2_to_sheet1,60,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,10,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,22,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,40,0.0,0.0,0.0,0.0,0.0
FULL-UOI,FULL-UOI-PSAR,pooled,60,0.0,0.0,0.0,0.0,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,10,-2.0426502933709414,-2.0401320019480162,-3.0126275446461994,-1.2491643190663515,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,22,-2.0426502933709414,-1.8824801737559995,-3.1642515614263025,-1.0571174976034485,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,40,-2.0426502933709414,-1.7695152109583019,-2.9023083771539437,-1.006979967183908,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet1_to_sheet2,60,-2.0426502933709414,-1.7554439810891869,-2.7555482936449347,-0.9551518648340624,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,10,-1.111567155128109,-1.1231436537070594,-1.5632664762364703,-0.7181065123834294,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,22,-1.111567155128109,-1.0976461451557555,-1.6212214723518723,-0.5710670635018918,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,40,-1.111567155128109,-1.0624257677675897,-1.6283918807721707,-0.4377422892062997,0.0
Joint-K+AR,FULL-UOI-PSAR,sheet2_to_sheet1,60,-1.111567155128109,-1.0405643038641346,-1.602298344568542,-0.38672499378203606,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,10,-1.3229266050657171,-1.3060180134215877,-1.6961306097749613,-0.9180982292692395,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,22,-1.3229266050657171,-1.2706844608411993,-1.7770709444875163,-0.813788758233462,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,40,-1.3229266050657171,-1.2348454321390725,-1.7274520319166167,-0.7466586183675895,0.0
Joint-K+AR,FULL-UOI-PSAR,pooled,60,-1.3229266050657171,-1.1905825327923347,-1.66421629205145,-0.6626340512525667,0.0
