scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S2,2,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,8.498820562185315e-08,0.9999983231615945,8.242661186338105e-08,0.999998414811214,0.0012949279537759655,0.0012615098323027622,0.10985662685849827,0.0012551015671771978,nan,6.921703479251375e-16,238.83816131096003,377.18566719619196,rank1,0.028273831071498733,1.4027420896412546e-06,8.081084485704944e-08,8.196116461317676e-08,nan,25,True
AR-S2,2,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,7.513384904178089e-08,0.9999976518056819,7.34490595506819e-08,0.9999976853606818,0.001532381910015951,0.0015213953873635794,0.5910723128070546,0.0015176362288724893,nan,4.8119614813059205e-16,314565.15283046523,316.00349954291164,rank1,0.022326413236968164,1.0341461668513564e-06,7.330253548187707e-08,7.374327172428042e-08,nan,25,True
AR-S2,3,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0001,4.971022786653126e-08,0.9999987993365238,4.870301077650357e-08,0.999998823387329,0.001095747907214022,0.001084223538358051,0.01648771241751477,0.0010832486638956242,nan,3.973598727074392e-16,1147.6880581729577,384.15001590180833,rank1,0.02545228262077448,4.4693989336953177e-07,4.888484692447337e-08,4.903557732819301e-08,nan,25,True
AR-S2,3,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,7.305979247232694e-08,0.9999983231374413,7.072305477875164e-08,0.9999983954562871,0.001294937279834471,0.0012618235031587558,0.11201713395140973,0.0012551015671771527,nan,7.608250521325797e-16,417.5743719454327,370.2263828440306,rank1,0.026106617685965876,1.5494283448565318e-06,6.87850260871242e-08,7.060675963958173e-08,nan,25,True
AR-S2,3,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,7.646657429102462e-08,0.999997624843358,7.621979236019429e-08,0.9999976349861911,0.0015411543212978107,0.001522318510671669,1.1028124281370535,0.0015130736093814429,nan,3.9086696116928724e-16,2949.8165737910076,379.36324354147894,rank1,0.02246994442254175,9.782376503943415e-07,7.424344557702596e-08,7.463134184618097e-08,nan,25,True
AR-S2,4,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0001,4.843388737957482e-08,0.9999988067545208,4.8104068949227804e-08,0.999998808758838,0.001092357761566669,0.0010850684022157132,0.021618620680189098,0.0010834633316906446,nan,3.7916491203338496e-16,775.9197227113631,364.9325738127974,rank1,0.025195397836859198,4.906133037061054e-07,4.761959067660381e-08,4.778077666269062e-08,nan,25,True
AR-S2,4,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,6.93872058190201e-08,0.9999983549688628,6.9521501572969e-08,0.9999983654168407,0.001282587672327167,0.0012590365982345121,0.894584655240805,0.0012551015671772307,nan,4.19234912041901e-16,413.77619226813556,345.2708511635553,rank1,0.025836702792685115,1.251029550208051e-06,6.601981314641223e-08,6.720106556174883e-08,nan,25,True
AR-S2,4,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,7.67582978905409e-08,0.9999976156222816,7.499563334547698e-08,0.999997661486238,0.001544143036900135,0.0015179175613467173,0.5563217169648077,0.0015137961593268392,nan,4.403953626950757e-16,895.4487393795641,359.1389604587454,rank1,0.02238666185934363,1.1225039852483005e-06,7.38051342395214e-08,7.4539657590022e-08,nan,25,True
AR-S3,0,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,4.9018445676139705e-08,0.9999988259884337,4.867032787187399e-08,0.9999988425855219,0.0010835181430642975,0.0010762250580139748,0.17114204936924646,0.001074762796419609,nan,4.323783533454463e-16,6759.3935689298005,351.11190719391413,weak_rank2,0.025557248496831095,0.0008836247673086025,5.014831775864914e-05,4.827050422960291e-08,1.0000149291797849,25,True
AR-S3,0,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,3.6396695414657274e-08,0.999999287700076,3.620539720315889e-08,0.9999992786189174,0.0008439786277072669,0.0008422097799852448,0.1761732958655091,0.0008070179244395106,nan,8.3619726282970615e-16,21259.29805704825,322.88212698703296,strong_rank2,0.023339017978218433,0.015799553744216852,0.01597663628993104,3.5722080030845346e-08,1.0000000422252162,25,True
AR-S3,0,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.237147701693728e-07,0.9999976283890905,1.2224895059082004e-07,0.9999976883043993,0.0015400035420633873,0.0015173396566346622,0.9677714376837367,0.0015130414518234943,nan,3.7179551309955526e-16,311414.7913022924,342.20914342790553,strong_rank2,0.023226351479027876,0.01680563655132393,0.018002220094434623,1.2007838381747863e-07,1.0000002019979382,25,True
AR-S3,1,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,4.874692814022067e-08,0.9999988257383555,4.8389418641068434e-08,0.999998834267506,0.0010836335378892764,0.0010766998894209353,0.21107229413621834,0.0010755685293686401,nan,3.8049534436513443e-16,290550.1526057435,328.83450928591526,weak_rank2,0.025487937656445227,0.0008856992611731497,5.148312347456365e-05,4.8145461293138155e-08,1.000011693868721,25,True
AR-S3,1,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,3.41646851705476e-08,0.9999992820016076,3.400755782192947e-08,0.9999992936729684,0.0008473478579928286,0.0008390918787477018,0.8796603770940871,0.0008089672089715989,nan,4.0900595858097595e-16,832.5579970041651,334.0799404736974,strong_rank2,0.022408530443574128,0.01562550988642299,0.015580356637086786,3.330684723255724e-08,1.0000000550590618,25,True
AR-S3,1,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.3269548354100748e-07,0.9999976369218239,1.287492018526298e-07,0.9999976946641151,0.0015372306841067698,0.001518019946572492,0.930768129014397,0.0015123695217792927,nan,3.547981285255785e-16,1264.9848933176959,387.51742405460504,strong_rank2,0.023842134387412794,0.01744903926172625,0.01948870029268898,1.277700464437688e-07,1.0000002527346905,25,True
AR-S3,2,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,4.9867911413097355e-08,0.9999988177791262,4.901295569593055e-08,0.999998853053969,0.0010872998085690588,0.0010760924553683952,0.15483251496531344,0.0010750158160913901,nan,4.2095131217150267e-16,115075.42949605198,349.81958707554804,weak_rank2,0.025738299599164065,0.0008790208183133355,4.97477536769953e-05,4.911507348505163e-08,1.0000151482888346,25,True
AR-S3,2,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,3.4632072076729206e-08,0.9999993355281726,3.35164624883722e-08,0.9999993794897151,0.0008151514138488436,0.0007979405999219172,0.8655715436333246,0.0007651607783783906,nan,4.916559412258029e-16,238.83816131096003,377.18566719619196,strong_rank2,0.024004698055549882,0.015925735365295502,0.016201433181244146,3.37489922478165e-08,1.0000000545063952,25,True
AR-S3,2,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.3350291500695108e-07,0.9999976188504849,1.293103854308095e-07,0.9999977006235915,0.0015430973770685496,0.00151893580526764,0.9811124657800023,0.0015142804945543992,nan,3.8959668970065807e-16,314565.15283046523,316.00349954291164,strong_rank2,0.023887021378747385,0.017480356366527998,0.019336590000428703,1.2977583162626647e-07,1.0000001927490376,25,True
AR-S3,3,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,5.027717034853248e-08,0.9999988208725038,4.952420607435231e-08,0.9999988341003397,0.00108587637241259,0.0010758774756570817,0.10209635086323877,0.0010743173707843568,nan,3.57479236298225e-16,1147.6880581729577,384.15001590180833,weak_rank2,0.02579913382815847,0.0008767570199674149,4.957637774081364e-05,4.942527161947396e-08,1.000017201005515,25,True
AR-S3,3,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,3.2424025553910596e-08,0.9999993200886398,3.118040928926457e-08,0.9999993394776059,0.0008245673776355027,0.0008125948202332381,0.8605950927458196,0.0007804070822015037,nan,4.47945353533107e-16,417.5743719454327,370.2263828440306,strong_rank2,0.02216892473487201,0.015798506368061477,0.015962601841507516,3.13594437391542e-08,1.0000000666923843,25,True
AR-S3,3,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.3363200062434906e-07,0.9999976064822432,1.2684887745139612e-07,0.9999977425344236,0.0015470997888925822,0.00151859685680481,0.9288563782582382,0.0015124178709448651,nan,3.8311650539615036e-16,2949.8165737910076,379.36324354147894,strong_rank2,0.02372435973677948,0.017575767872828944,0.019820103974695056,1.28043636845453e-07,1.000000281956213,25,True
AR-S3,4,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,4.9120298240690806e-08,0.9999988228844292,4.843191180589278e-08,0.9999988405665408,0.0010849495706242015,0.001076018804125337,0.13127385335992525,0.001074443226569401,nan,4.532369225575863e-16,775.9197227113631,364.9325738127974,weak_rank2,0.025525310989664755,0.0008853514817668732,5.0239938829751236e-05,4.828758066638064e-08,1.0000165910339514,25,True
AR-S3,4,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,3.300685827743493e-08,0.9999992935884306,3.126396541688893e-08,0.9999993285891476,0.0008404829381519233,0.0008236078349728896,0.8892868216031323,0.000794353487122094,nan,3.9254942377922157e-16,413.77619226813556,345.2708511635553,strong_rank2,0.0219238023369186,0.015808983600094962,0.01609079531122187,3.2227614221312635e-08,1.0000000484280387,25,True
