scenario,seed,variable,lag_basis_count,amplitude_basis_count,lag_smoothness,amplitude_smoothness,train_contribution_rmse,train_contribution_r2,validation_contribution_rmse,validation_contribution_r2,test_contribution_rmse,test_contribution_r2,surface_nrmse,e1r_projection_nrmse,excess_surface_error,relative_kkt_residual,condition_number,full_validation_mse,rank1_validation_mse,rank2_validation_mse,eta1,eta2,eta3,capacity_pass
AR-S2,0,2,32,16,0.001,0.01,0.009333887855292962,0.999036741248728,0.009976227847211312,0.9988107946126087,0.01244242584323039,0.9983792216034107,0.07437923868868121,0.017100518798737956,0.05727871988994325,2.9467318292581468e-16,7381715746.368883,9.952512205947446e-05,9.275550447549666e-05,9.509136544661076e-05,0.0001564109573914386,0.0001028940941598945,7.630191071020763e-05,False
AR-S2,1,2,32,16,0.001,0.01,0.009010894794781675,0.9991763160079883,0.010035976004473474,0.9989311706721994,0.012026700382602774,0.9985030796542312,0.08491783598926517,0.017104867662157557,0.0678129683271076,2.949174613907975e-16,8088688482.967502,0.00010072081436236736,9.256300991245794e-05,9.414718531599948e-05,0.00016855337965444254,0.00011471065317424542,7.865028889250582e-05,False
AR-S2,2,2,32,16,0.001,0.01,0.008505278363200528,0.9992632082107707,0.007641632313700466,0.9993755885122425,0.008412994978365196,0.9992500433051237,0.06895081354663998,0.017102498061671162,0.05184831548496882,3.0021923020460583e-16,7221883514.751856,5.839454441779114e-05,5.437275829682592e-05,5.575304503668053e-05,0.0001462365736328974,9.188892508979293e-05,6.62370315951451e-05,False
AR-S2,3,2,32,16,0.001,0.01,0.008493839351004992,0.9992433434926025,0.010644429478991703,0.9986900127991076,0.010798809249209515,0.9987793423343191,0.07369005207261833,0.01715647729596841,0.05653357477664993,2.8762980492276414e-16,7942815739.640782,0.00011330387893322757,0.00010842947895428426,0.00011114963628005314,0.00017171584696463546,0.000120760671126247,8.564065180335947e-05,False
AR-S2,4,2,32,16,0.001,0.01,0.009621091264481994,0.9989368545913343,0.011858173775503713,0.9984048273043683,0.010954196472968886,0.9988408599132546,0.07251390401843769,0.01717243323428293,0.05534147078415476,3.070682925938913e-16,6493971575.396962,0.00014061628529004399,0.00012770512275061402,0.00013122616255171085,0.0001793975960629361,0.00012108473727866647,8.524544956058491e-05,False
AR-S3,0,0,32,16,0.0001,0.1,0.002883909085938874,0.9999134373449922,0.002608456068737646,0.9999154412736648,0.007958187133129678,0.9993916853857422,0.015239457412293288,0.008149907975974702,0.007089549436318586,5.116377928020394e-16,6570264854.039179,6.804043062534255e-06,6.50076119879677e-05,6.490879202066242e-06,0.0012394658459351812,1.2055883464042581e-05,5.493942245085686e-06,True
AR-S3,1,0,32,16,0.0001,0.1,0.003336603032618542,0.9998835652168147,0.002808032994502048,0.9999205809941336,0.0030692459731945015,0.9999002250655578,0.01609622570134895,0.008149314470417455,0.007946911230931495,4.716803774802412e-16,6398746224.518093,7.885049298212137e-06,6.789541057037163e-05,7.304941793234036e-06,0.0012139394975704857,1.7621923481682776e-05,9.325739817006574e-06,True
AR-S3,2,0,32,16,0.0001,0.1,0.003368235257639049,0.9998852058749084,0.0021119388125378255,0.9999580151330595,0.002908683173090698,0.9999153289036977,0.01586251211446432,0.008156374838168397,0.007706137276295922,5.125113312713281e-16,6532531583.871148,4.46028554790368e-06,6.224283003049727e-05,4.2344086483532675e-06,0.0012608589755202016,1.271895600506542e-05,7.587355683113479e-06,True
AR-S3,3,0,32,16,0.0001,0.1,0.0029303562430082644,0.9999191122492749,0.004998789664242677,0.9997540451693455,0.004651751013763372,0.9998171585734831,0.014219157493580757,0.008154073068083747,0.006065084425497011,4.564662834013025e-16,7035511368.001163,2.4987898107339423e-05,7.520349755088387e-05,2.481148776578515e-05,0.0012089309084723889,7.413908955594092e-06,4.372171912514069e-06,True
AR-S3,4,0,32,16,0.0001,0.1,0.0029074377614430307,0.9999160665064754,0.003201551228542533,0.9998979522103439,0.004143428897302296,0.9998449821998697,0.013632766015176366,0.008150237864852477,0.005482528150323889,4.464355332473348e-16,7909149402.8997,1.0249930268982202e-05,5.770073027422082e-05,9.92847636152789e-06,0.0012887843087874562,8.887895327559377e-06,4.2201026518443165e-06,True
